ID,Company Name,Website,Sub-Domain,
115,A-lehdet Oy,www.a-lehdet.fi/,a-lehdet.mgr.consensu.org,
116,Location Sciences AI,www.locationsciences.ai,locationsciences.mgr.consensu.org,
118,"Sonobi.",https://sonobi.com/,Sonobi.mgr.consensu.org
119,"Curiosity Media.",http://www.curiositymedia.com/,curiositymedia.mgr.consensu.org
120,BlueConic,www.blueconic.com,blueconic.mgr.consensu.org,
121,"Proper Media",www.proper.io,propermedia.mgr.consensu.org
122,Web Financial Group/Vortex,www.webfinancialgroup.com/,vortex.mgr.consensu.org,
123,iubenda,www.iubenda.com ,iubenda.mgr.consensu.org,
124,LIQWID,www.liqwid.com,LIQWID.mgr.consensu.org,
125,eBay,www.ebay.com,ebay.mgr.consensu.org,
126,B2B Media Group,www.selfcampaign.com,selfcampaign.mgr.consensu.org,
127,AddApptr,www.addapptr.com,N/A,
128,KnowNow Information,www.consentua.com,Consentua.mgr.consensu.org,
129,"Schibsted Classified Media Spain, S.L.",https://www.schibsted.es/,schibstedspain.mgr.consensu.org
131,Oriel Ventures,https://oriel.io/ ,oriel.mgr.consensu.org,
132,Taboola Europe,www.taboola.com,taboola.mgr.consensu.org,
134,Cookiebot,www.cookiebot.com,cookiebot.mgr.consensu.org,
135,calcioinfinito,www.calciomercato.com,calcioinfinito.mgr.consensu.org,
136,M6 Web,http://www.groupem6.fr/,6tech.mgr.consensu.org,
139,Improve Digital,www.improvedigital.com/,improvedigital.mgr.consensu.org,
141,"Wikia. (FANDOM)",www.wikia.com/fandom,fandom.mgr.consensu.org
142,Genius Sports Group,www.geniussports.com,geniussports.mgr.consensu.org,
143,Microsoft Advertising,developer.microsoft.com/en-us/store/monetize/ads-in-apps,microsoftadvertising.mgr.consensu.org,
145,Car&Boat Media,www.lacentrale.fr,Lacentrale.mgr.consensu.org,
146,Tamoco,www.tamoco.com,N/A,
147,Car&Boat Media,www.caradisiac.com,caradisiac.mgr.consensu.org,
148,Car&Boat Media,http://www.annoncesbateau.com/,Annoncesbateau.mgr.consensu.org,
149,Car&Boat Media,www.promoneuve.fr,promoneuve.mgr.consensu.org,
152,Teavaro,http://www.teavaro.com/,fc.mgr.consensu.org,
153,Avocet Systems Limted,www.avocet.io,avocet.mgr.consensu.org,
155,Right Match Media,miboodle.com,miBoodle.mgr.consensu.org,
157,YOC AG,yoc.com,yoc.mgr.consensu.org,
161,Innity,www.innity.com,innity.mgr.consensu.org,
162,Cookie Information,www.cookieinformation.com,Cookieinformation.mgr.consensu.org,
163,"Centro.",https://www.centro.net/,centro.mgr.consensu.org
164,SOCIETE,www.societe.com,societe.mgr.consensu.org,
165,Bidstack,www.bidstack.com,bidstack.mgr.consensu.org,
167,1&1 Mail & Media,https://www.united-internet-media.de/de/home/,1und1.mgr.consensu.org,
168,Outlook.com - Microsoft Corporation,https://outlook.live.com/owa/,outlook.mgr.consensu.org,
169,Mappy,www.Mappy.com,Mappy.mgr.consensu.org,
170,AGORA,https://www.agora.pl/en,AGORA.mgr.consensu.org,
171,Viber Media sarl,https://www.viber.com/,viber.mgr.consensu.org,
172,Orange,https://www.orange.fr/portail ,orange.mgr.consensu.org,
173,Planet Media,www.planet.fr,PlanetMedia.mgr.consensu.org,
174,Groupe Sud Ouest,http://www.groupesudouest.com/,gsoi.mgr.consensu.org,
177,AuFeminin,https://www.aufeminin.com/,auf.mgr.consensu.org,
178,PRESSIMMO ON LINE,https://www.seloger.com/,Shield.mgr.consensu.org,
179,Teads,https://teads.tv/,Teads.mgr.consensu.org,
180,Admetrics,https://admetrics.io/en/start/,admetrics.mgr.consensu.org,
181,Marfeel Solutions S.L ,https://www.marfeel.com/,marfeel.mgr.consensu.org,
182,StreamAMP,http://www.streamamp.com/,streamamp.mgr.consensu.org,
183,Sub2,http://www.sub2tech.com/,2Consent.mgr.consensu.org,
184,ASK.FM EUROPE,https://ask.fm/,askfm.mgr.consensu.org,
185,Playwire,https://www.playwire.com/,playwire.mgr.consensu.org,
186,Venatus Media,https://www.venatusmedia.com/,Venatus.mgr.consensu.org,
187,Livesport Media,http://www.livesportmedia.eu/,livesportmedia.mgr.consensu.org,
188,ADN CONTENTS,https://www.adncontents.com/,adn.mgr.consensu.org,
190,Fidzup ,https://www.fidzup.com/en/ ,fidzup.mgr.consensu.org,
191,Piwik PRO,https://piwik.pro/,piwikpro.mgr.consensu.org,
193,RTP,https://www.rtp.pt/,rtp.mgr.consensu.org,
194,Spil Games,https://www.spilgames.com/,spilgames.mgr.consensu.org,
195,Totaljobs Group,https://www.totaljobs.com/,Totaljobs.mgr.consensu.org,
196,Newsroom AI,https://www.nws.ai/ ,nws.mgr.consensu.org,
197,Publy,https://www.publy.com/en/,publy.mgr.consensu.org,
198,Microsoft Casual Games,www.microsoft.com,Microsoftcasualgames.mgr.consensu.org,
199,Grindr,https://www.grindr.com/,grindr.mgr.consensu.org,
200,Syrenis,www.syrenis.com/,syrenis.mgr.consensu.org,
201,"AgeCheq. dba PrivacyCheq",https://www.privacycheq.com/,consentcheq.mgr.consensu.org
203,"X-Mode Social.",http://xmode.io/,xmodesocial.mgr.consensu.org
204,Destino,https://www.desti.no/,Destinet.mgr.consensu.org,
205,Bit Q Holdings,https://bitqueen.com/,bitqueen.mgr.consensu.org,
206,PAGESJAUNES,https://www.pagesjaunes.fr/ ,pagesjaunes.mgr.consensu.org,
207,willhaben,https://www.willhaben.at/iad,willhaben.mgr.consensu.org,
208,Golden Bees,http://goldenbees.fr/ ,goldenbees.mgr.consensu.org,
209,LifeStreet Corporation,https://lifestreet.com/ ,LifeStreet.mgr.consensu.org,
210,Red Pineapple Media,http://www.redpineapplemedia.com/ ,redpineapplemedia.mgr.consensu.org,
212,Singlespot ,https://www.singlespot.com/en ,Singlespot.mgr.consensu.org,
213,Clym ,https://www.clym.io/ ,Clym.mgr.consensu.org,
214,LBC France,https://www.leboncoin.fr/ ,lbc.mgr.consensu.org,
215,Smartclip Hispania S.L. ,http://rgpd-smartclip.com/,SmartclipLATAM.mgr.consensu.org,
216,Listonic,https://listonic.com/,listonic.mgr.consensu.org,
217,BMIND SALES MAKER COMPANY,https://www.bmind.es/,bmind.mgr.consensu.org,
218,RCS MediaGroup,http://www.rcspubblicita.it/site/home.html,rcsmediagroup.mgr.consensu.org,
219,Nielsen Marketing Cloud,https://www.nielsen.com/de/de.html,nielsen.mgr.consensu.org,
220,Allegro.pl,https://allegro.pl/,Allegro.mgr.consensu.org,
222,ParuVendu.fr,https://www.paruvendu.fr/,paruvendu.mgr.consensu.org,
223,Gedi Digital,http://www.gedispa.it/en/businesses/digital.html,gedi.mgr.consensu.org,
224,"Ensighten",https://www.ensighten.com/ ,ensighten.mgr.consensu.org
225,Internetowy Dom Mediowy net,http://idmnet.grupazpr.pl/,idmnet.mgr.consensu.org,
226,Società Athesis,https://www.gruppoathesis.it,gruppoathesis.mgr.consensu.org,
227,"Healthline Media",https://www.healthline.com/>,HealthlineMedia.mgr.consensu.org
228,Thirdfloor,http://www.thirdfloor.it/,Thirdfloor.mgr.consensu.org,
229,Snigel Web Services,http://www.snigelweb.com/,snigelweb.mgr.consensu.org,
231,Grupa Interia.pl,https://prywatnosc.interia.pl/,Interia.mgr.consensu.org
233,M32 Media,https://www.m32.media >,M32CMP.mgr.consensu.org,
237,ALPRED SL,https://www.tiempo.com/,meteored.mgr.consensu.org,
238,Yieldbird,https://yieldbird.com/,Yieldbird.mgr.consensu.org
240,Network N,https://www.network-n.com/,NetworkN.mgr.consensu.org
241,CafeMedia/AdThrive,http://www.cafemedia.com/,cafemedia.mgr.consensu.org
242,"GG Software",https://nitropay.com/,nitropay.mgr.consensu.org
245,Onefootball,https://onefootball.com/en/home,onefootball.mgr.consensu.org
